"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort1:1))_1 []","dB(S(FloquetPort1:1,FloquetPort1:1))_2 []","dB(S(FloquetPort1:1,FloquetPort1:1))_3 []"
3.72,-0.409236778218788,-3.71462131576855,-1.75117805781187,-0.415246626494733
3.73,-0.417259038426852,-3.68311808802438,-1.70398622604268,-0.410721466905583
3.74,-0.425436792690647,-3.64593334074663,-1.65851370405233,-0.406330997330527
3.75,-0.433772492801864,-3.60360772518186,-1.61471587116144,-0.402070557036881
3.76,-0.442268582463783,-3.55669956874956,-1.57254500903086,-0.397935700867097
3.77,-0.450927493540653,-3.50577225521936,-1.53195122744179,-0.393922188806815
3.78,-0.459751642059829,-3.45138306603097,-1.49288324043119,-0.390025976203493
3.79,-0.468743423957289,-3.39407370646943,-1.45528901235812,-0.386243204591351
3.8,-0.477905210556479,-3.33436261117806,-1.41911629152527,-0.382570193081338
3.81,-0.487239343771222,-3.27273901470338,-1.38431304707532,-0.379003430278056
3.82,-0.496748131023369,-3.20965868854337,-1.35082782307344,-0.375539566688315
3.83,-0.506433839865855,-3.14554118715376,-1.31861002200512,-0.372175407588646
3.84,-0.516298692302507,-3.08076840964275,-1.2876101283776,-0.368907906321228
3.85,-0.526344858796225,-3.01568426795986,-1.25777988171994,-0.365734157990181
3.86,-0.53657445195743,-2.95059525204625,-1.22907240702856,-0.362651393531912
3.87,-0.546989519905612,-2.88577169338908,-1.2014423095963,-0.359656974135288
3.88,-0.557592039297197,-2.8214495468167,-1.17484574018544,-0.356748385988808
3.89,-0.568383908014073,-2.75783253291352,-1.14924043564723,-0.353923235334046
3.9,-0.579366937507689,-2.69509450756282,-1.12458573934177,-0.351179243805379
3.91,-0.590542844794979,-2.63338194897833,-1.10084260506205,-0.348514244038074
3.92,-0.601913244103613,-2.57281647490701,-1.07797358760261,-0.34592617552761
3.93,-0.613479638165165,-2.51349732272819,-1.05594282262744,-0.343413080724319
3.94,-0.625243409156664,-2.45550374257533,-1.03471599807429,-0.340973101348706
3.95,-0.637205809292416,-2.39889726828289,-1.01426031897379,-0.338604474913557
3.96,-0.649367951070166,-2.34372384301795,-0.994544467255218,-0.33630553143997
3.97,-0.661730797177375,-2.29001578611407,-0.975538557849094,-0.334074690355254
3.98,-0.674295150066143,-2.23779359516485,-0.957214092173911,-0.331910457561592
3.99,-0.687061641207233,-2.18706758315836,-0.939543909904609,-0.329811422664666
4,-0.700030720036818,-2.13783935463954,-0.922502139760235,-0.327776256352631
